"","Outcome","mean.No_Policy","LL.No_Policy","UL.No_Policy","se.No_Policy","LL2.No_Policy","UL2.No_Policy","mean.Policy","LL.Policy","UL.Policy","se.Policy","LL2.Policy","UL2.Policy","mean.Diff1","LL.Diff1","UL.Diff1","se.Diff1","LL2.Diff1","UL2.Diff1"
"1","SEQN",250837896754.491,250837896754.491,250837896754.491,1445138156.82801,248005425967.109,253670367541.874,250837896754.491,250837896754.491,250837896754.491,1445138156.82801,248005425967.109,253670367541.874,0,0,0,0,0,0
"2","Incident First CVD",223133.5394567,189900.414749115,256366.664164285,63382.3405225472,98904.1520325075,347362.926880892,206892.7848733,177826.376627505,235959.193119095,56984.9839471178,95202.2163369491,318583.353409651,-16240.7545834,-20407.47104519,-12074.03812161,10031.9214858927,-35903.3206957497,3421.81152894968
"3","Incident Recurrent CVD",128571.7330069,128279.227204625,128864.238809175,30969.0529947723,67872.3891371463,189271.076876654,114352.8113441,105570.484801755,123135.137886445,30469.185376018,54633.2080071047,174072.414681095,-14218.9216628,-23293.75400742,-5144.08931818,16841.2619442302,-47227.7950734912,18789.9517478912
"4","Incident CVD",351705.2724636,318179.64195374,385230.90297346,70117.3176104705,214275.329947078,489135.214980122,321245.5962174,300961.51451395,341529.67792085,55108.0688856084,213233.781201608,429257.411233193,-30459.6762462,-43701.22505261,-17218.12743979,23666.8426844398,-76846.6879077021,15927.3354153021
"5","Life Years",38146813.0133834,37938941.6489852,38354684.3777816,1100018.95905875,35990775.8536282,40302850.1731385,38072488.7204398,37867726.8316324,38277250.6092472,1121005.41166745,35875318.1135716,40269659.327308,-74324.2929436,-77433.76853436,-71214.8173528401,77727.062001308,-226669.334466164,78020.7485789636
"6","effect_disc",26914007.8381301,26685426.9902426,27142588.6860176,829345.789460064,25288490.0907884,28539525.5854718,26877327.1317125,26652588.4414318,27102065.8219932,838298.002781951,25234263.0462599,28520391.2171651,-36680.7064175899,-40522.8640243376,-32838.5488108421,41067.5335465525,-117173.072168833,43811.659333653
"7","HCE_disc",251037115114.284,249924558153.417,252149672075.151,16185257203.6713,219314010995.089,282760219233.48,245115539619.922,244799682362.515,245431396877.329,15914075272.1313,213923952086.545,276307127153.299,-5921575494.36226,-6718275197.82268,-5124875790.90184,1611861258.73639,-9080823561.48557,-2762327427.23894
"8","Prod_cost",24716335925.3543,23309685764.2716,26122986086.437,4781679125.11694,15344244840.1251,34088427010.5835,23635170810.4953,21828019041.125,25442322579.8655,5142881167.33498,13555123722.5187,33715217898.4718,-1081165114.85901,-1481666723.14653,-680663506.571486,837654537.09561,-2722968007.5664,560637777.848389
"9","Food_cost",0,0,0,0,0,0,13079910378.5396,12839378624.2488,13320442132.8304,518102839.77662,12064428812.5774,14095391944.5018,13079910378.5396,12839378624.2488,13320442132.8304,518102839.77662,12064428812.5774,14095391944.5018
"10","Food_cost_disc",0,0,0,0,0,0,10147979592.8824,9963934626.15353,10332024559.6112,381679986.873625,9399886818.61006,10896072367.1547,10147979592.8824,9963934626.15353,10332024559.6112,381679986.873625,9399886818.61006,10896072367.1547
"11","Prod_cost_disc",18884634934.6693,17646852796.4413,20122417072.8973,3823233050.66641,11391098155.3631,26378171713.9755,18052071487.7978,16492674401.8862,19611468573.7094,4106628706.26986,10003079223.5089,26101063752.0867,-832563446.871511,-1154178394.55517,-510948499.187855,637620762.543243,-2082300141.45627,417173247.713245
"12","Admin_costs",0,0,0,0,0,0,1914775410.31647,1879449171.08948,1950101649.54347,70606643.9367479,1776386388.20045,2053164432.4325,1914775410.31647,1879449171.08948,1950101649.54347,70606643.9367479,1776386388.20045,2053164432.4325
"13","Total_cost_health",251037115114.284,249924558153.417,252149672075.151,16185257203.6713,219314010995.089,282760219233.48,257178294623.121,256643066159.758,257713523086.483,15860042377.0166,226092611564.168,288263977682.074,6141179508.83657,5563851011.33198,6718508006.34116,1480872579.54696,3238669252.92454,9043689764.74861
"14","Total_cost_societ",269921750048.954,269796524871.593,270046975226.315,17749259720.9997,235133200995.794,304710299102.113,275230366110.919,274206197488.37,276254534733.468,17669310188.4639,240598518141.529,309862214080.308,5308616061.96506,4409672616.77681,6207559507.15331,2048504303.0789,1293547627.93041,9323684495.99971
