"","Total_cost_health","Total_cost_societ","effect_disc","cat","catvar"
"simulation_ 1",1491.37020949262,5118048.32966223,-16.1168029669063,2,"age_cat"
"simulation_ 2",1665.21712096297,5893614.73575213,34.4859768115235,2,"age_cat"
"simulation_ 11",1728.35499669486,19659190.4769251,90.5857142670842,1,"age_cat"
"simulation_ 21",2038.25557640943,22599271.3118868,521.065705511967,1,"age_cat"
"simulation_ 12",1484.21496168825,14082962.942372,19.3567749437353,0,"Female"
"simulation_ 22",2133.55561759628,20407894.1185548,555.551682323491,0,"Female"
"simulation_ 13",2021.47349438523,10694275.8642153,55.1121363564426,1,"Female"
"simulation_ 23",1598.14330050536,8084991.92908412,0,1,"Female"
"simulation_ 14",1318.86341181681,3912268.19265251,-17.8802948065416,3,"Race"
"simulation_ 24",1656.49113096815,5131505.72959369,34.4859768115235,3,"Race"
"simulation_ 15",2844.90346727005,3389895.22607674,59.2678556204275,2,"Race"
"simulation_ 25",382.264321245838,445833.311356416,-34.5875886939209,2,"Race"
"simulation_ 16",1870.58070252592,2532492.67445609,0,4,"Race"
"simulation_ 26",1754.69592669436,2375601.63763629,0,4,"Race"
"simulation_ 17",1629.28627254706,14942582.713402,33.081350486292,1,"Race"
"simulation_ 27",2250.93416625155,20539945.3690526,555.653294205888,1,"Race"
"simulation_ 18",514.921772556267,666796.179218443,-5.45024865422129,1,"pir_cat"
"simulation_ 28",801.096112601837,1205575.05111512,-0.101611882397375,1,"pir_cat"
"simulation_ 19",1826.3009362212,19152200.1062474,70.7507127310171,3,"pir_cat"
"simulation_ 29",2177.17500198191,22306258.5493191,549.551357220673,3,"pir_cat"
"simulation_ 110",1693.35800894652,4958242.52112148,9.16844722338204,2,"pir_cat"
"simulation_ 210",1702.95390819682,4981052.44720472,6.10193698521529,2,"pir_cat"
"simulation_ 111",-171.142821738147,-274207.984392479,-17.8802948065416,1,"edu"
"simulation_ 211",1577.31634445259,929740.506301682,34.4859768115235,1,"edu"
"simulation_ 112",1966.97110974532,14634580.0535332,59.2678556204275,4,"edu"
"simulation_ 212",2220.75596016532,15725546.4057909,523.536521395427,4,"edu"
"simulation_ 113",1497.77191453075,8367427.83930123,19.7757398187422,5,"edu"
"simulation_ 213",1684.5255720071,9396066.08091,0,5,"edu"
"simulation_ 114",2088.92510313745,1481843.19532065,9.16844722338204,3,"edu"
"simulation_ 214",2124.2159752951,1801876.10465203,-2.47081588345977,3,"edu"
"simulation_ 115",990.603919035902,567595.702824681,4.1371634441677,2,"edu"
"simulation_ 215",1200.74918814812,639656.949984378,0,2,"edu"
