"","Total_cost_health","Total_cost_societ","effect_disc","cat","catvar"
"simulation_ 1",1798497586.05815,1762367359.57394,-3089.24513449452,1,"age_cat"
"simulation_ 2",1426627585.79528,1400778719.33864,726.500598610206,1,"age_cat"
"simulation_ 11",325508223.422999,336801882.699661,2859.06315573814,2,"age_cat"
"simulation_ 21",353005599.912739,353005599.912739,0,2,"age_cat"
"simulation_ 12",1046312380.59804,1046312380.59804,0,1,"Female"
"simulation_ 22",894739212.470122,888121392.352049,-360.298980254321,1,"Female"
"simulation_ 13",1077693428.8831,1052856861.67555,-230.181978756382,0,"Female"
"simulation_ 23",884893973.237897,865662926.899334,1086.79957886453,0,"Female"
"simulation_ 14",1400172791.80717,1375336224.59962,-2119.23892415495,1,"Race"
"simulation_ 24",1151174732.13428,1125325865.67764,-695.965131052451,1,"Race"
"simulation_ 15",253892684.862638,253892684.862638,0,3,"Race"
"simulation_ 25",218509856.165652,218509856.165652,0,3,"Race"
"simulation_ 16",190124689.884766,190124689.884766,0,4,"Race"
"simulation_ 26",178880562.756693,178880562.756693,0,4,"Race"
"simulation_ 17",279815642.926568,279815642.926568,1889.05694539857,2,"Race"
"simulation_ 27",231068034.651397,231068034.651397,1422.46572966266,2,"Race"
"simulation_ 18",991288862.50298,1006863108.4916,1608.8989832511,3,"pir_cat"
"simulation_ 28",613301909.035089,594070862.696526,-335.66615079813,3,"pir_cat"
"simulation_ 19",919508389.754473,930802049.031135,2859.06315573814,2,"pir_cat"
"simulation_ 29",841532997.291341,834915177.173269,-360.298980254321,2,"pir_cat"
"simulation_ 110",213208557.223693,161504084.750859,-4698.14411774561,1,"pir_cat"
"simulation_ 210",324798279.381589,324798279.381589,1422.46572966266,1,"pir_cat"
"simulation_ 111",683573727.538631,694867386.815294,2859.06315573814,4,"edu"
"simulation_ 211",674314631.042686,674314631.042686,0,4,"edu"
"simulation_ 112",155603329.652069,103898857.179235,-6587.20106314419,3,"edu"
"simulation_ 212",250530290.299184,250530290.299184,0,3,"edu"
"simulation_ 113",1068469502.20122,1084043748.18985,1608.8989832511,5,"edu"
"simulation_ 213",657126155.273681,631277288.817045,-695.965131052451,5,"edu"
"simulation_ 114",170026288.262198,170026288.262198,1889.05694539857,2,"edu"
"simulation_ 214",150424550.248642,150424550.248642,1422.46572966266,2,"edu"
"simulation_ 115",46332961.8270246,46332961.8270246,0,1,"edu"
"simulation_ 215",47237558.843827,47237558.843827,0,1,"edu"
