"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"1","SEQN",0,0,0,0,0,0,1,"age_cat"
"2","Incident First CVD",-7258.8335343,-7861.503598535,-6656.163470065,4966.77918426733,-16993.720735464,2476.05366686397,1,"age_cat"
"3","Incident Recurrent CVD",-16529.9647652,-27041.05897526,-6018.87055514,18274.2212213746,-52347.4383590943,19287.5088286943,1,"age_cat"
"4","Incident CVD",-23788.7982995,-33697.222445325,-13880.374153675,18841.3218203542,-60717.7890673942,13140.1924683942,1,"age_cat"
"5","Life Years",-71519.1129244001,-78575.47602594,-64462.7498228601,74959.949520796,-218440.61398516,75402.38813636,1,"age_cat"
"6","effect_disc",-35188.9601466465,-41610.2341049173,-28767.6861883757,40996.4363874887,-115541.975466124,45164.0551728315,1,"age_cat"
"7","HCE_disc",-5319242516.44465,-5775226578.42534,-4863258454.46395,1260854402.58279,-7790517145.50691,-2847967887.38239,1,"age_cat"
"8","Prod_cost",-1028109224.93509,-1426116419.07424,-630102030.795949,806006147.541942,-2607881274.1173,551662824.247112,1,"age_cat"
"9","Food_cost",12135474377.2639,11867509276.0456,12403439478.4822,422628422.987219,11307122668.2089,12963826086.3188,1,"age_cat"
"10","Food_cost_disc",9364902794.6753,9157301784.97359,9572503804.37701,323721565.652541,8730408525.99632,9999397063.35428,1,"age_cat"
"11","Prod_cost_disc",-773476877.048695,-1066307806.17737,-480645947.920018,587011304.97446,-1924019034.79864,377065280.701247,1,"age_cat"
"12","Admin_costs",1761200711.70219,1722007068.77142,1800394354.63297,60825036.6582691,1641983639.85198,1880417783.5524,1,"age_cat"
"13","Total_cost_health",5806860989.93284,5597671580.58463,6016050399.28104,1123927458.43227,3603963171.40559,8009758808.46008,1,"age_cat"
"14","Total_cost_societ",5033384112.88414,4531363774.40726,5535404451.36102,1587869233.72896,1921160414.77537,8145607810.99291,1,"age_cat"
"15","SEQN",0,0,0,0,0,0,2,"age_cat"
"16","Incident First CVD",-8981.9210491,-13751.307575125,-4212.534523075,9348.36558624454,-27304.7175981393,9340.87549993929,2,"age_cat"
"17","Incident Recurrent CVD",2311.0431024,874.781236960001,3747.30496784,3909.8472697881,-5352.25754638467,9974.34375118467,2,"age_cat"
"18","Incident CVD",-6670.8779467,-10004.002607285,-3337.753286115,8799.7815602233,-23918.4498047377,10576.6939113377,2,"age_cat"
"19","Life Years",-2805.18001919998,-6752.06752997998,1141.70749158002,32238.5814239603,-65992.7996101622,60382.4395717622,2,"age_cat"
"20","effect_disc",-1491.74627094339,-4070.86262246647,1087.37008057969,16161.6065486517,-33168.4951063006,30185.0025644139,2,"age_cat"
"21","HCE_disc",-602332977.917613,-943048619.397339,-261617336.437886,746560698.279951,-2065591946.54632,860925990.711091,2,"age_cat"
"22","Prod_cost",-53055889.9239136,-55550304.0722907,-50561475.7755365,207085950.340562,-458944352.591416,352832572.743588,2,"age_cat"
"23","Food_cost",944436001.275695,917002654.348252,971869348.203138,81168971.4339955,785344817.265064,1103527185.28633,2,"age_cat"
"24","Food_cost_disc",783076798.207067,759520755.23419,806632841.179945,64524932.5288101,656607930.450599,909545665.963535,2,"age_cat"
"25","Prod_cost_disc",-59086569.8228159,-87870588.3777947,-30302551.2678371,160682226.532914,-374023733.827328,255850594.181696,2,"age_cat"
"26","Admin_costs",153574698.614279,149707294.910498,157442102.318061,11263253.3387005,131498722.070427,175650675.158132,2,"age_cat"
"27","Total_cost_health",334318518.903734,-33820569.252651,702457607.06012,790365905.708467,-1214798656.28486,1883435694.09233,2,"age_cat"
"28","Total_cost_societ",275231949.080918,-121691157.630447,672155055.792284,923689983.181012,-1535200417.95387,2085664316.1157,2,"age_cat"
"29","SEQN",0,0,0,0,0,0,1,"Female"
"30","Incident First CVD",-9285.0441235,-10667.523787615,-7902.564459385,7360.20899656749,-23711.0537567723,5140.96550977228,1,"Female"
"31","Incident Recurrent CVD",-3744.0656144,-11215.39932155,3727.26809275,12747.2079283584,-28728.5931539824,21240.4619251824,1,"Female"
"32","Incident CVD",-13029.1097379,-21882.923109165,-4175.296366635,16094.7139166214,-44574.749014478,18516.529538678,1,"Female"
"33","Life Years",-19964.0867535,-48711.7756136051,8783.602106605,68658.2604487892,-154534.277233127,114606.103726127,1,"Female"
"34","effect_disc",-14732.2621149841,-32468.4920843636,3003.96785439551,37656.5343030276,-88539.0693489181,59074.54511895,1,"Female"
"35","HCE_disc",-3157418537.30373,-3353566262.06559,-2961270812.54186,750116112.150287,-4627646117.11829,-1687190957.48916,1,"Female"
"36","Prod_cost",-257889936.125574,-363024880.507301,-152754991.743847,407581966.859494,-1056750591.17018,540970718.919034,1,"Female"
"37","Food_cost",7820531660.42253,7702814972.26099,7938248348.58407,376579995.3643,7082434869.5085,8558628451.33656,1,"Female"
"38","Food_cost_disc",6060376108.73754,5965998617.70751,6154753599.76756,275482842.477857,5520429737.48094,6600322479.99413,1,"Female"
"39","Prod_cost_disc",-236393537.91886,-320643701.268623,-152143374.569097,304343112.89545,-832906039.193943,360118963.356223,1,"Female"
"40","Admin_costs",1142722071.64681,1124133872.5317,1161310270.76192,50358618.4435053,1044019179.49754,1241424963.79608,1,"Female"
"41","Total_cost_health",4045679643.08062,3962497608.46388,4128861677.69735,853974485.917806,2371889650.68172,5719469635.47952,1,"Female"
"42","Total_cost_societ",3809286105.16176,3641853907.19526,3976718303.12826,1091072092.27815,1670784804.29659,5947787406.02693,1,"Female"
"43","SEQN",0,0,0,0,0,0,0,"Female"
"44","Incident First CVD",-6955.7104599,-9739.947257575,-4171.473662225,6384.88428709959,-19470.0836626152,5558.6627428152,0,"Female"
"45","Incident Recurrent CVD",-10474.8560484,-12078.35468587,-8871.35741093,9205.78680986451,-28518.1981957344,7568.48609893445,0,"Female"
"46","Incident CVD",-17430.5665083,-21818.301943445,-13042.831073155,13225.9445201079,-43353.4177677114,8492.28475111141,0,"Female"
"47","Life Years",-54360.2061901,-79998.4194594451,-28721.992920755,70369.069346885,-192283.582109995,83563.1697297946,0,"Female"
"48","effect_disc",-21948.4443026058,-35842.5166652376,-8054.37193997398,37031.1648118988,-94529.5273339274,50632.6387287157,0,"Female"
"49","HCE_disc",-2764156957.05853,-3364708935.75709,-2163604978.35998,1314905648.51505,-5341372028.14802,-186941885.969045,0,"Female"
"50","Prod_cost",-823275178.733433,-1118641842.63923,-527908514.827639,656155617.017748,-2109340188.08822,462789830.621353,0,"Female"
"51","Food_cost",5259378718.11706,5136563651.98777,5382193784.24636,270411977.952612,4729371241.32994,5789386194.90418,0,"Female"
"52","Food_cost_disc",4087603484.14483,3997936008.44602,4177270959.84364,193429994.756281,3708480694.42252,4466726273.86714,0,"Female"
"53","Prod_cost_disc",-596169908.952651,-833534693.286543,-358805124.618759,499586308.613657,-1575359073.83542,383019255.930117,0,"Female"
"54","Admin_costs",772053338.669661,755315298.557774,788791378.781549,35171255.8664401,703117677.171439,840989000.167884,0,"Female"
"55","Total_cost_health",2095499865.75595,1601353402.8681,2589646328.64381,1265951194.39782,-385764475.263767,4576764206.77567,0,"Female"
"56","Total_cost_societ",1499329956.8033,767818709.581554,2230841204.02505,1727954085.16729,-1887460050.12458,4886119963.73118,0,"Female"
"57","SEQN",0,0,0,0,0,0,4,"Race"
"58","Incident First CVD",-1499.0431264,-2437.45707973,-560.62917307,3671.86531097296,-8695.89913590701,5697.81288310701,4,"Race"
