"","Outcome","mean.No_Policy","LL.No_Policy","UL.No_Policy","se.No_Policy","LL2.No_Policy","UL2.No_Policy","mean.Policy","LL.Policy","UL.Policy","se.Policy","LL2.Policy","UL2.Policy","mean.Diff1","LL.Diff1","UL.Diff1","se.Diff1","LL2.Diff1","UL2.Diff1"
"1","SEQN",579530261404.28,579530261404.28,579530261404.28,2466909310.16121,574695119156.364,584365403652.196,579530261404.28,579530261404.28,579530261404.28,2466909310.16121,574695119156.364,584365403652.196,0,0,0,0,0,0
"2","Incident First CVD",1820652.912549,1751932.8811717,1889372.9439263,148067.602893887,1530440.41087698,2110865.41422102,1315353.117592,1291717.36272411,1338988.87245989,85325.3148901067,1148115.50040739,1482590.73477661,-505299.794957,-597655.58120219,-412944.00871181,167769.217382724,-834127.461027138,-176472.128886862
"3","Incident Recurrent CVD",1094473.9015837,961290.725874785,1227657.07729262,317120.233771163,472918.24339222,1716029.55977518,449394.1750201,440772.878850955,458015.471189245,87928.5128589872,277054.289816485,621734.060223715,-645079.7265636,-786884.19844166,-503275.25468554,295260.105446074,-1223789.5332379,-66369.9198892955
"4","Incident CVD",2915126.8141327,2713223.60704648,3117030.02121892,388555.03603369,2153558.94350667,3676694.68475873,1764747.2926121,1732490.24157506,1797004.34364914,127135.414561782,1515561.88007101,2013932.70515319,-1150379.5215206,-1384539.77964385,-916219.26339735,410686.542266829,-1955325.14436358,-345433.898677616
"5","Life Years",162851914.145281,162670454.42076,163033373.869801,5708571.0282572,151663114.929897,174040713.360665,163797128.013502,162400900.792472,165193355.234532,6755957.74937855,150555450.82472,177038805.202284,945213.868221401,-632473.077329219,2522900.81377202,4420222.61329049,-7718422.45382796,9608850.19027076
"6","effect_disc",85951809.2460282,85715835.243485,86187783.2485715,2289040.4207255,81465290.0214062,90438328.4706502,86308384.4076712,86023225.6416236,86593543.1737187,2613667.6794576,81185595.7559343,91431173.0594081,356575.161642927,307390.39813861,405759.925147243,1385378.13438843,-2358765.9817584,3071916.30504425
"7","HCE_disc",837933110716.028,831599090315.65,844267131116.407,33120863289.0134,773016218669.562,902850002762.495,734255894875.951,713941497723.719,754570292028.183,40782376324.0707,654322437280.773,814189352471.13,-103677215840.077,-117657592591.93,-89696839088.224,27184078874.5908,-156958010434.275,-50396421245.8793
"8","Prod_cost",168574550323.502,161114793662.406,176034306984.599,19574364164.5264,130208796561.031,206940304085.974,134889936402.265,131025545147.642,138754327656.887,15136053281.0973,105223271971.314,164556600833.215,-33684613921.2379,-45008761836.9567,-22360466005.5191,20168140861.8965,-73214170010.555,5844942168.07929
"9","Food_cost",0,0,0,0,0,0,5423294906.51356,5292082449.87135,5554507363.15577,331121950.815301,4774295882.91557,6072293930.11155,5423294906.51356,5292082449.87135,5554507363.15577,331121950.815301,4774295882.91557,6072293930.11155
"10","Food_cost_disc",0,0,0,0,0,0,4658595895.98468,4549031232.6879,4768160559.28146,254169177.962524,4160424307.17814,5156767484.79123,4658595895.98468,4549031232.6879,4768160559.28146,254169177.962524,4160424307.17814,5156767484.79123
"11","Prod_cost_disc",94509865329.4379,89763827779.5505,99255902879.3254,12295084918.7199,70411498888.747,118608231770.129,76002179229.9986,74528361190.142,77475997269.8552,9302863051.37745,57768567649.2988,94235790810.6984,-18507686099.4394,-24727541689.1834,-12287830509.6953,10821818280.5928,-39718449929.4013,2703077730.52256
"12","Admin_costs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Total_cost_health",837933110716.028,831599090315.65,844267131116.407,33120863289.0134,773016218669.562,902850002762.495,738914490771.936,718709658283.001,759119323260.871,40640964384.2236,659258200578.858,818570780965.014,-99018619944.0925,-112889432032.649,-85147807855.5361,27086655448.446,-152108464623.047,-45928775265.1383
"14","Total_cost_societ",932442976045.466,930854993194.975,934030958895.958,37232758051.7743,859466770263.989,1005419181826.94,814916670001.934,793238019473.143,836595320530.726,44745140416.5667,727216194785.464,902617145218.405,-117526306043.532,-137616973721.832,-97435638365.2314,36748360800.506,-189553093212.524,-45499518874.5401
