"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"1","SEQN",0,0,0,0,0,0,1,"age_cat"
"2","Incident First CVD",-0.00387214848910315,-0.00419363650334514,-0.00355066047486116,0.00264947617591624,-0.00906512179389898,0.00132082481569268,1,"age_cat"
"3","Incident Recurrent CVD",-0.00881773604368376,-0.0144247688227086,-0.00321070326465894,0.00974819132544087,-0.0279241910415479,0.0102887189541803,1,"age_cat"
"4","Incident CVD",-0.0126898845327869,-0.0179754292975698,-0.00740433976800408,0.0100507051821276,-0.032389266689757,0.00700949762418321,1,"age_cat"
"5","Life Years",-0.0381511194248539,-0.0419152621887127,-0.034386976660995,0.0399865975585001,-0.116524850639514,0.0402226117898062,1,"age_cat"
"6","effect_disc",-0.0187711811024591,-0.0221965422349531,-0.015345819969965,0.0218691182910198,-0.0616346529528579,0.0240922907479398,1,"age_cat"
"7","HCE_disc",-2837.49403756104,-3080.73394495257,-2594.25413016951,672.589534788224,-4155.76952574596,-1519.21854937612,1,"age_cat"
"8","Prod_cost",-548.434064943651,-760.746821277812,-336.12130860949,429.955511676209,-1391.14686782902,294.278737941719,1,"age_cat"
"9","Food_cost",6473.54131382542,6330.59814576518,6616.48448188565,225.446692197746,6031.66579711783,6915.416830533,1,"age_cat"
"10","Food_cost_disc",4995.60901013234,4884.86643251924,5106.35158774544,172.685868247077,4657.14470836807,5334.07331189661,1,"age_cat"
"11","Prod_cost_disc",-412.603114077219,-568.810696801132,-256.395531353307,313.135013622064,-1026.34774077646,201.141512622026,1,"age_cat"
"12","Admin_costs",939.494016855517,918.586579794215,960.40145391682,32.4464767903887,875.898922346355,1003.08911136468,1,"age_cat"
"13","Total_cost_health",3097.60898942681,2986.01909670968,3209.19888214394,599.547294956632,1922.49629131181,4272.72168754181,1,"age_cat"
"14","Total_cost_societ",2685.00587534959,2417.20839990855,2952.80335079063,847.032160914531,1024.82283995711,4345.18891074207,1,"age_cat"
"15","SEQN",0,0,0,0,0,0,2,"age_cat"
"16","Incident First CVD",-0.0329750136646286,-0.0504846961710595,-0.0154653311581977,0.0343203287206856,-0.100242857957172,0.0342928306279152,2,"age_cat"
"17","Incident Recurrent CVD",0.00848445198578333,0.00321155386299094,0.0137573501085757,0.0143540859959788,-0.019649556566335,0.0366184605379017,2,"age_cat"
"18","Incident CVD",-0.0244905616788452,-0.0367273460624837,-0.0122537772952067,0.0323063313079539,-0.0878109710424349,0.0388298476847445,2,"age_cat"
"19","Life Years",-0.0102985596242945,-0.0247886301659147,0.00419151091732568,0.118356380241157,-0.242277064896962,0.221679945648373,2,"age_cat"
"20","effect_disc",-0.00547659608669638,-0.0149452160477527,0.00399202387435999,0.059333542776747,-0.12177033992912,0.110817147755728,2,"age_cat"
"21","HCE_disc",-2211.32406630093,-3462.18152453615,-960.466608065705,2740.82226871976,-7583.33571299165,3160.6875803898,2,"age_cat"
"22","Prod_cost",-194.782239307858,-203.93989502297,-185.624583592745,760.267431087793,-1684.90640423993,1295.34192562422,2,"age_cat"
"23","Food_cost",3467.27497126617,3366.55988093596,3567.99006159638,297.992815517794,2883.20905285129,4051.34088968105,2,"age_cat"
"24","Food_cost_disc",2874.88255354004,2788.40207406699,2961.36303301308,236.888135646655,2410.58180767259,3339.18329940748,2,"age_cat"
"25","Prod_cost_disc",-216.922464209214,-322.59622820522,-111.248700213209,589.907057367946,-1373.14029665039,939.295368231959,2,"age_cat"
"26","Admin_costs",563.813437867449,549.615173455893,578.011702279006,41.3503893790112,482.766674684587,644.860201050311,2,"age_cat"
"27","Total_cost_health",1227.37192510656,-124.16427701326,2578.90812722639,2901.64279983342,-4459.84796256694,6914.59181278006,2,"age_cat"
"28","Total_cost_societ",1010.44946089735,-446.760505218483,2467.65942701318,3391.11083817937,-5636.12778193421,7657.02670372891,2,"age_cat"
"29","SEQN",0,0,0,0,0,0,1,"Female"
"30","Incident First CVD",-0.00732068773429213,-0.00841068814628586,-0.0062306873222984,0.00580307330867992,-0.0186947114193048,0.00405333595072052,1,"Female"
"31","Incident Recurrent CVD",-0.00295196607093679,-0.0088426543973719,0.00293872225549832,0.0100503915206413,-0.0226507334513937,0.0167468013095201,1,"Female"
"32","Incident CVD",-0.0102726538052289,-0.0172533425436578,-0.00329196506680008,0.0126896946518696,-0.0351444553228934,0.0145991477124355,1,"Female"
"33","Life Years",-0.0157404577812173,-0.0384062470255324,0.00692533146309778,0.054132826773883,-0.121840798258028,0.0903598826955934,1,"Female"
"34","effect_disc",-0.0116154849809035,-0.0255994143475717,0.0023684443857647,0.0296898673955047,-0.0698076250760927,0.0465766551142857,1,"Female"
"35","HCE_disc",-2489.43083636667,-2644.08128537629,-2334.78038735704,591.420541299866,-3648.6150973144,-1330.24657541893,1,"Female"
"36","Prod_cost",-203.330395319674,-286.222849845853,-120.437940793495,321.353379242987,-833.183018635928,426.52222799658,1,"Female"
"37","Food_cost",6166.00949231865,6073.19710460316,6258.82188003414,296.910226421631,5584.06544853225,6747.95353610505,1,"Female"
"38","Food_cost_disc",4778.2348101226,4703.82394768759,4852.64567255761,217.201322805924,4352.52021742299,5203.94940282221,1,"Female"
"39","Prod_cost_disc",-186.381803951642,-252.80788973466,-119.955718168623,239.955875702415,-656.695320328376,283.931712425093,1,"Female"
"40","Admin_costs",900.966257385572,886.310602608432,915.621912162713,39.7046815773559,823.145081493955,978.78743327719,1,"Female"
"41","Total_cost_health",3189.7702311415,3124.18629934403,3255.35416293898,673.3064982033,1870.08949466304,4509.45096761997,1,"Female"
"42","Total_cost_societ",3003.38842718986,2871.37840960936,3135.39844477036,860.243416932545,1317.31133000207,4689.46552437765,1,"Female"
"43","SEQN",0,0,0,0,0,0,0,"Female"
"44","Incident First CVD",-0.00791606326587638,-0.0110847107771032,-0.00474741575464958,0.00726642494010698,-0.0221582561484861,0.00632612961673331,0,"Female"
"45","Incident Recurrent CVD",-0.011921086085759,-0.0137459746768148,-0.0100961974947032,0.0104768004963947,-0.0324556150586925,0.00861344288717451,0,"Female"
"46","Incident CVD",-0.0198371493516354,-0.024830685453918,-0.0148436132493528,0.0150520085871501,-0.0493390861824497,0.00966478747917889,0,"Female"
"47","Life Years",-0.0618655468521476,-0.091043546631495,-0.0326875470728002,0.0800847027952329,-0.218831564330804,0.0951004706265088,0,"Female"
"48","effect_disc",-0.0249787961544175,-0.0407911788689273,-0.00916641343990764,0.0421439398822101,-0.107580918323549,0.0576233260147144,0,"Female"
"49","HCE_disc",-3145.79531092245,-3829.2635900051,-2462.32703183981,1496.45048659098,-6078.83826464077,-212.752357204138,0,"Female"
"50","Prod_cost",-936.94216250819,-1273.08916166645,-600.795163349929,746.748934780606,-2400.57007467818,526.685749661798,0,"Female"
"51","Food_cost",5985.52439924549,5845.75264780655,6125.29615068441,307.746899136227,5382.34047693848,6588.70832155249,0,"Female"
"52","Food_cost_disc",4651.96588800684,4549.91830931372,4754.01346669997,220.136258522594,4220.49882130256,5083.43295471113,0,"Female"
"53","Prod_cost_disc",-678.481190913285,-948.618175583749,-408.344206242821,568.562600262146,-1792.86388742709,435.901505600521,0,"Female"
"54","Admin_costs",878.648286005278,859.599277965576,897.697294044981,40.0272392279922,800.194897118414,957.101674892143,0,"Female"
"55","Total_cost_health",2384.81886308966,1822.44717073984,2947.19055543948,1440.73704679607,-439.025748630642,5208.66347480997,0,"Female"
"56","Total_cost_societ",1706.33767217638,873.828995156094,2538.84634919666,1966.52720632515,-2148.05565222092,5560.73099657367,0,"Female"
"57","SEQN",0,0,0,0,0,0,4,"Race"
"58","Incident First CVD",-0.00643643380588948,-0.0104656969983614,-0.00240717061341752,0.0157658693082276,-0.0373375376500155,0.0244646700382366,4,"Race"
"59","Incident Recurrent CVD",0,0,0,0,0,0,4,"Race"
"60","Incident CVD",-0.00643643380588948,-0.0104656969983614,-0.00240717061341752,0.0157658693082276,-0.0373375376500155,0.0244646700382366,4,"Race"
