"","Outcome","mean.No_Policy","LL.No_Policy","UL.No_Policy","se.No_Policy","LL2.No_Policy","UL2.No_Policy","mean.Policy","LL.Policy","UL.Policy","se.Policy","LL2.Policy","UL2.Policy","mean.Diff1","LL.Diff1","UL.Diff1","se.Diff1","LL2.Diff1","UL2.Diff1"
"1","SEQN",116984.559806185,116984.559806185,116984.559806185,497.972787532604,116008.533142621,117960.586469749,116984.559806185,116984.559806185,116984.559806185,497.972787532604,116008.533142621,117960.586469749,0,0,0,0,0,0
"2","Incident First CVD",0.367518822948596,0.353646928492109,0.381390717405083,0.0298890748243685,0.308936236292834,0.426101409604358,0.265518499548808,0.260747362365726,0.27028963673189,0.0172238536406298,0.231759746413174,0.299277252684442,-0.102000323399788,-0.120643355039357,-0.0833572917602188,0.0338660624847935,-0.168377805869983,-0.0356228409295925
"3","Incident Recurrent CVD",0.220931599474852,0.194047110050359,0.247816088899345,0.0640142084443702,0.0954637509238866,0.346399448025818,0.0907151588888568,0.0889748553974355,0.0924554623802781,0.017749337793502,0.0559264568135929,0.125503860964121,-0.130216440585995,-0.15884123350191,-0.101591647670081,0.0596015010160806,-0.247035382577513,-0.0133974985944774
"4","Incident CVD",0.588450422423448,0.547694038542467,0.629206806304428,0.0784341092745252,0.434719568245378,0.742181276601517,0.356233658437665,0.349722217763162,0.362745099112168,0.0256636822937389,0.305932841141937,0.406534475733393,-0.232216763985783,-0.279484588541267,-0.1849489394303,0.0829015973195118,-0.394703894732026,-0.0697296332395399
"5","Life Years",32.8734507214804,32.8368210794939,32.910080363467,1.15233787316784,30.6148684900715,35.1320329528894,33.0642525409206,32.7824087137393,33.3460963681019,1.36376440716853,30.3912743028703,35.7372307789709,0.190801819440183,-0.127671649727721,0.509275288608088,0.8922705699753,-1.55804849771141,1.93965213659177
"6","effect_disc",17.3503184196578,17.3026844708346,17.397952368481,0.462067995117742,16.444665149227,18.2559716900886,17.4222970394136,17.3647346048997,17.4798594739276,0.527597579149889,16.3882057842798,18.4563882945474,0.0719786197558326,0.0620501340650572,0.0819071054466081,0.279653819670834,-0.476142866799003,0.620100106310668
"7","HCE_disc",169146.018133054,167867.426422336,170424.609843772,6685.81068204672,156041.829196242,182250.207069865,148217.631360648,144116.9467772,152318.315944095,8232.37138740785,132082.183441328,164353.079279967,-20928.3867724059,-23750.4796451355,-18106.2938996762,5487.40542586121,-31683.7014070938,-10173.0721377179
"8","Prod_cost",34028.6277999267,32522.7938385647,35534.4617612888,3951.3007823342,26284.0782665517,41773.1773333018,27229.0178498462,26448.9479554019,28009.0877442905,3055.37889600712,21240.4752136723,33217.5604860202,-6799.6099500805,-9085.51380588683,-4513.70609427418,4071.1611419929,-14779.0857883866,1179.86588822558
"9","Food_cost",0,0,0,0,0,0,1094.75174911535,1068.26507101819,1121.23842721251,66.8406090899036,963.744155299141,1225.75934293156,1094.75174911535,1068.26507101819,1121.23842721251,66.8406090899036,963.744155299141,1225.75934293156
"10","Food_cost_disc",0,0,0,0,0,0,940.388839896122,918.272007075298,962.505672716945,51.3068451821592,839.82742333909,1040.95025645315,940.388839896122,918.272007075298,962.505672716945,51.3068451821592,839.82742333909,1040.95025645315
"11","Prod_cost_disc",19077.856203946,18119.8163040936,20035.8961037984,2481.89817303212,14213.3357848031,23942.376623089,15341.8761256537,15044.3697379643,15639.382513343,1877.88526584537,11661.2210045967,19022.5312467106,-3735.98007829237,-4991.52636583412,-2480.43379075062,2184.50309184894,-8017.60613831629,545.645981731554
"12","Admin_costs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Total_cost_health",169146.018133054,167867.426422336,170424.609843772,6685.81068204672,156041.829196242,182250.207069865,149158.020200544,145079.452449917,153236.587951171,8203.82583140139,133078.521570997,165237.518830091,-19987.9979325097,-22787.9739724185,-17188.0218926009,5467.73943534893,-30704.7672257936,-9271.22863922583
"14","Total_cost_societ",188223.874337,187903.322526134,188544.426147865,7515.84188287709,173492.824246561,202954.924427439,164499.896326198,160123.822187882,168875.970464514,9032.29892156815,146796.590439924,182203.202212471,-23723.9780108021,-27779.5003382527,-19668.4556833515,7418.06096791049,-38263.3775079067,-9184.57851369755
